plot_ID,soil_type,Slope,Aspect,Sand_%,Total_annual_leaf_litterfall_mass_g_per_m2,Acer_rubrum_leaf_litter_%_of_total_litter,Quercus_spp_leaf_litter_%_of_total_litter,Other_leaf_litter_%_of_total,buckthorn_stems_per_m2_subplot,buckthorn_basal_area_per_m2_subplot,buckthorn_basal_area_per_m2_plot,root_biomass_g_per_m2,earthworm_biomass_g_per_m2,soil_pH,soil_K_g_per_m2,soil_Ca_g_per_m2,soil_P_g_per_m2,soil_N_g_per_m2,Total_annual_leaf_litter_K_g_per_m2,Total_annual_leaf_litter_Ca_g_per_m2,Total_annual_leaf_litter_P_g_per_m2,Total_annual_leaf_litter_N_g_per_m2,Total_leaf_litter_K_%,Total_leaf_litter_Ca_%,Total_leaf_litter_P_%,Total_leaf_litter_N_%,non-buckthorn_leaf_litter_K_%,non-buckthorn_leaf_litter_Ca_%,non-buckthorn_leaf_litter_P_%,non-buckthorn_leaf_litter_N_%,buckthorn_green_leaves_K_mg_per_g,maple_green_leaves_K_mg_per_g,buckthorn_leaf_litter_K_mg_per_g,maple_leaf_litter_K_mg_per_g,oak_leaf_litter_K_mg_per_g,buckthorn_green_leaves_Ca_mg_per_g,maple_green_leaves_Ca_mg_per_g,buckthorn_leaf_litter_Ca_mg_per_g,maple_leaf_litter_Ca_mg_per_g,oak_leaf_litter_Ca_mg_per_g,buckthorn_green_leaves_P_mg_per_g,maple_green_leaves_P_mg_per_g,buckthorn_leaf_litter_P_mg_per_g,maple_leaf_litter_P_mg_per_g,oak_leaf_litter_P_mg_per_g,buckthorn_green_leaves_N_%,maple_green_leaves_N_%,buckthorn_leaf_litter_N_%,maple_leaf_litter_N_%,oak_leaf_litter_N_%
BB1,silty,9,123,18.5,373.6,45.9,44.0,6.1,18.5,0.2,0.9,210.4,5.7,5.6,17.9,255.0,92.2,410.5,2.4,5.6,0.8,3.7,0.6,1.5,0.2,1.0,0.6,1.4,0.2,0.9,32.5,,21.483,6.1393,4.8021,32.927,,39.459,12.5085,14.492,2.7685,,1.8833,2.3003,1.6162,3.5043,,2.1172,0.8435,1.0196
BB2,sandy,14,151,64.3,441.0,17.0,51.9,24.3,5.0,0.1,1.0,169.7,9.8,5.7,14.7,199.5,68.3,312.0,3.5,7.8,0.9,4.3,0.8,1.8,0.2,1.0,0.7,1.6,0.2,0.9,30.0,8.3547,18.825,6.2632,5.287,30.926,12.835,36.285,13.822,15.413,2.3231,2.1795,1.6024,1.6028,1.4836,3.0922,1.2243,2.0296,0.7611,0.9562
BB3,silty,6,129,11.7,440.2,24.1,66.0,4.0,15.8,2.7,1.1,185.6,10.0,5.5,18.1,182.4,76.7,498.2,3.1,7.2,0.8,4.1,0.7,1.6,0.2,0.9,0.6,1.5,0.2,0.9,30.2,11.1255,21.681,6.6646,5.635,42.551,13.339,40.846,12.21,15.327,2.1533,2.69935,1.4595,2.0956,1.8478,2.9531,1.6375,1.7223,0.7269,0.9055
BB4,sandy,12,159,63.3,402.7,18.4,58.0,13.8,19.7,0.4,1.6,298.7,6.0,5.6,5.7,109.4,50.6,371.6,3.0,7.0,0.8,4.1,0.7,1.7,0.2,1.0,0.6,1.5,0.2,0.9,30.8,,17.975,5.309,5.1833,23.79,,34.616,14.4435,14.473,2.1926,,1.4821,1.92905,1.6342,3.067,,1.939,0.9456,0.9321
HB1,silty,8,133,16.5,438.5,18.1,70.4,6.7,5.5,0.7,0.2,166.2,8.1,5.4,18.4,174.6,63.9,537.0,2.6,6.6,0.7,4.0,0.6,1.5,0.2,0.9,0.5,1.4,0.2,0.9,27.5,9.2229,18.473,5.7751,4.4707,36.49,13.9,38.571,12.511,13.46,2.1539,2.3078,1.755,1.5321,1.3695,2.993,1.7293,2.0865,0.8731,0.8446
HB2,sandy,12,140,54.3,366.3,6.5,68.1,6.7,10.8,9.7,1.2,330.6,4.0,5.0,9.7,82.0,69.3,399.2,2.9,5.9,0.5,4.4,0.8,1.6,0.1,1.2,0.5,1.2,0.1,1.0,27.6,,20.485,5.1381,4.13945,28.554,,34.296,11.068,11.5635,2.0432,,1.6637,1.5034,1.38715,2.6747,,1.9481,1.0386,0.9871
HB3,silty,7,126,14.2,543.0,46.4,42.4,4.1,7.6,0.8,0.6,242.2,6.4,5.6,17.5,242.8,75.2,468.4,3.9,8.1,1.0,4.5,0.7,1.5,0.2,0.8,0.6,1.3,0.2,0.7,27.1,10.878,20.977,7.2424,4.12095,37.471,11.428,39.587,11.923,13.753,1.6291,2.5475,1.4075,2.2815,1.1853,2.6585,1.4037,1.8103,0.6633,0.8299
HB4,sandy,15,171,55.3,518.0,52.6,23.8,15.6,4.5,0.6,0.4,137.9,11.4,5.3,8.4,105.2,89.4,357.9,3.9,9.0,1.2,5.1,0.7,1.7,0.2,1.0,0.6,1.6,0.2,0.9,31.9,7.0923,22.079,4.8896,5.1754,30.682,9.8858,34.503,13.962,12.638,2.1144,1.8635,1.6398,2.5815,1.6716,3.3108,1.5574,2.0726,0.7189,1.0024
HB5,sandy,10,182,54.4,415.4,43.3,39.3,9.9,6.5,1.9,0.5,213.9,8.7,5.4,8.1,141.8,75.6,415.8,2.7,6.4,0.9,4.1,0.6,1.5,0.2,1.0,0.6,1.4,0.2,0.9,28.0,7.6166,16.284,5.0049,5.1334,28.641,13.189,35.196,12.6445,11.981,1.9289,2.3549,1.6645,2.586,1.5215,3.0665,1.509,2.008,0.731,0.9985
IB1,silty,6,109,18.9,386.4,23.4,66.0,9.3,4.0,0.1,0.0,189.1,7.3,5.8,17.8,219.7,64.0,369.7,2.5,5.1,0.6,3.3,0.6,1.3,0.2,0.9,0.6,1.3,0.2,0.8,30.6,7.5427,19.802,6.6469,5.3453,33.778,9.6507,40.116,12.453,11.777,2.3041,1.8615,1.5009,1.4092,1.4972,2.8905,1.5167,1.8005,0.7431,0.8945
IB2,sandy,10,122,57.6,422.7,55.0,39.0,4.2,2.0,0.1,0.1,224.5,5.2,5.1,5.3,91.7,62.7,246.4,2.4,5.5,0.6,3.8,0.6,1.3,0.1,0.9,0.5,1.3,0.1,0.9,30.9,7.1501,20.218,5.4995,4.70015,19.939,12.77,31.367,12.19,12.5355,2.0188,1.6546,1.2718,1.4144,1.28995,3.0335,1.7742,1.6356,0.8269,0.9547
IB3,silty,11,137,26.6,467.2,30.6,66.6,1.8,8.2,0.1,0.0,164.4,5.8,5.0,17.1,77.6,76.4,335.5,2.5,6.2,0.7,4.5,0.5,1.3,0.1,1.0,0.5,1.3,0.1,1.0,32.1,,21.267,5.9523,4.7964,28.862,,32.898,12.166,13.272,2.0561,,1.7323,1.6361,1.3808,2.7289,,2.0043,0.8151,1.0036
